zone_key,mode,emission_factor,datetime,source
US-CAL-CISO,biomass,101.6370901,2020-01-01,eGrid 2020
US-CAL-IID,biomass,39.38869109,2020-01-01,eGrid 2020
US-CAL-LDWP,biomass,138.0968906,2020-01-01,eGrid 2020
US-CAR-CPLE,biomass,216.6227355,2020-01-01,eGrid 2020
US-CAR-SC,biomass,53.68073353,2020-01-01,eGrid 2020
US-CAR-SCEG,biomass,90.54773858,2020-01-01,eGrid 2020
US-CENT-SWPP,biomass,66.69147532,2020-01-01,eGrid 2020
US-FLA-FPC,biomass,572.1600047,2020-01-01,eGrid 2020
US-FLA-FPL,biomass,902.3445824,2020-01-01,eGrid 2020
US-FLA-GVL,biomass,424.0835095,2020-01-01,eGrid 2020
US-FLA-JEA,biomass,82.16971627,2020-01-01,eGrid 2020
US-FLA-TEC,biomass,1248.927719,2020-01-01,eGrid 2020
US-HI-OA,biomass,980.1789569,2020-01-01,eGrid 2020
US-MIDA-PJM,biomass,515.9462429,2020-01-01,eGrid 2020
US-MIDW-MISO,biomass,139.1151962,2020-01-01,eGrid 2020
US-NE-ISNE,biomass,429.7692167,2020-01-01,eGrid 2020
US-NW-AVA,biomass,205.8471989,2020-01-01,eGrid 2020
US-NW-BPAT,biomass,85.91723542,2020-01-01,eGrid 2020
US-NW-PACW,biomass,29.16184216,2020-01-01,eGrid 2020
US-NW-PSEI,biomass,11.13357253,2020-01-01,eGrid 2020
US-NW-TPWR,biomass,25.02597585,2020-01-01,eGrid 2020
US-NY-NYIS,biomass,667.6942738,2020-01-01,eGrid 2020
US-SE-SOCO,biomass,72.20359898,2020-01-01,eGrid 2020
US-SW-AZPS,biomass,34.52335329,2020-01-01,eGrid 2020
US-TEN-TVA,biomass,14.46015011,2020-01-01,eGrid 2020
US-TEX-ERCO,biomass,0.4539605655,2020-01-01,eGrid 2020
PT,biomass,439.145806,2021-01-01,"EU-ETS, ENTSO-E 2021"
PT-AC,biomass,439.145806,2021-01-01,"EU-ETS, ENTSO-E 2021"
PT-MA,biomass,439.145806,2021-01-01,"EU-ETS, ENTSO-E 2021"
ES,biomass,439.145806,2021-01-01,"EU-ETS, ENTSO-E 2021"
ES-IB-IZ,biomass,439.145806,2021-01-01,"EU-ETS, ENTSO-E 2021"
ES-IB-FO,biomass,439.145806,2021-01-01,"EU-ETS, ENTSO-E 2021"
ES-IB-MA,biomass,439.145806,2021-01-01,"EU-ETS, ENTSO-E 2021"
ES-IB-ME,biomass,439.145806,2021-01-01,"EU-ETS, ENTSO-E 2021"
ES-CN-LP,biomass,439.145806,2021-01-01,"EU-ETS, ENTSO-E 2021"
ES-CN-HI,biomass,439.145806,2021-01-01,"EU-ETS, ENTSO-E 2021"
ES-CN-IG,biomass,439.145806,2021-01-01,"EU-ETS, ENTSO-E 2021"
ES-CN-TE,biomass,439.145806,2021-01-01,"EU-ETS, ENTSO-E 2021"
ES-CN-GC,biomass,439.145806,2021-01-01,"EU-ETS, ENTSO-E 2021"
ES-CN-FVLZ,biomass,439.145806,2021-01-01,"EU-ETS, ENTSO-E 2021"
FR,biomass,819.5789414,2021-01-01,"EU-ETS, ENTSO-E 2021"
FR-COR,biomass,819.5789414,2021-01-01,"EU-ETS, ENTSO-E 2021"
IE,biomass,439.145806,2021-01-01,"EU-ETS, ENTSO-E 2021"
BE,biomass,548.8950964,2021-01-01,"EU-ETS, ENTSO-E 2021"
NL,biomass,439.145806,2021-01-01,"EU-ETS, ENTSO-E 2021"
LU,biomass,439.145806,2021-01-01,"EU-ETS, ENTSO-E 2021"
DE,biomass,439.145806,2021-01-01,"EU-ETS, ENTSO-E 2021"
DK-DK1,biomass,254.1851485,2021-01-01,"EU-ETS, ENTSO-E 2021"
DK-DK2,biomass,254.1851485,2021-01-01,"EU-ETS, ENTSO-E 2021"
DK-BHM,biomass,254.1851485,2021-01-01,"EU-ETS, ENTSO-E 2021"
SE-SE1,biomass,133.9240359,2021-01-01,"EU-ETS, ENTSO-E 2021"
SE-SE2,biomass,133.9240359,2021-01-01,"EU-ETS, ENTSO-E 2021"
SE-SE3,biomass,133.9240359,2021-01-01,"EU-ETS, ENTSO-E 2021"
SE-SE4,biomass,133.9240359,2021-01-01,"EU-ETS, ENTSO-E 2021"
FI,biomass,439.145806,2021-01-01,"EU-ETS, ENTSO-E 2021"
EE,biomass,439.145806,2021-01-01,"EU-ETS, ENTSO-E 2021"
LV,biomass,439.145806,2021-01-01,"EU-ETS, ENTSO-E 2021"
LT,biomass,439.145806,2021-01-01,"EU-ETS, ENTSO-E 2021"
PL,biomass,439.145806,2021-01-01,"EU-ETS, ENTSO-E 2021"
CZ,biomass,439.145806,2021-01-01,"EU-ETS, ENTSO-E 2021"
AT,biomass,439.145806,2021-01-01,"EU-ETS, ENTSO-E 2021"
SK,biomass,439.145806,2021-01-01,"EU-ETS, ENTSO-E 2021"
HU,biomass,439.145806,2021-01-01,"EU-ETS, ENTSO-E 2021"
SI,biomass,439.145806,2021-01-01,"EU-ETS, ENTSO-E 2021"
