Zone,RenewablesTotal,RenewablesUnspecified,Solar,Wind,HydroAndMarine,Geothermal,Biomass,Nuclear,FossilTotal,FossilUnspecified,Lignite,HardCoal,Gas,Oil,Untrackedconsumption,DirectCO2,RW
BE,26.95,2.94,6.23,8.39,3.85,0.21,5.33,44.38,28.67,0.00,0.00,0.00,28.59,0.08,41.61,122.76,1.20
BG,14.68,0.01,3.42,3.73,6.71,0.00,0.82,36.47,48.85,0.08,43.19,1.09,4.47,0.02,99.92,513.55,1.27
HR,34.31,0.17,0.54,8.17,23.11,0.02,2.31,12.65,53.04,1.08,11.20,13.54,26.92,0.29,92.92,413.25,0.38
CY,8.35,0.00,3.11,4.46,0.00,0.00,0.77,0.00,91.65,0.00,0.00,0.00,0.00,91.65,100.00,637.45,0.00
CZ,7.60,0.00,2.14,0.45,1.43,0.00,3.58,35.01,57.40,2.73,43.77,5.38,5.45,0.06,98.01,614.38,1.23
DK,14.20,0.11,3.96,4.74,3.08,0.03,2.28,19.00,66.80,3.53,11.91,28.17,22.27,0.91,86.12,505.03,0.57
EE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,99.36,0.00,0.00,0.51,0.12,74.52,1042.25,0.00
FI,11.85,0.05,0.21,0.65,5.81,0.02,5.11,43.08,45.07,6.45,12.37,13.88,11.92,0.45,72.73,348.70,1.29
FR,10.78,0.00,1.89,4.93,2.55,0.00,1.40,78.03,11.20,0.00,0.00,2.00,8.42,0.78,94.14,57.34,2.11
DE,1.80,0.10,0.00,0.47,1.09,0.13,0.00,18.17,80.03,2.32,34.57,21.19,20.88,1.08,48.21,731.53,0.49
GB,4.54,0.00,1.38,1.71,1.46,0.00,0.00,27.34,68.12,0.99,0.00,9.33,57.78,0.01,71.87,366.52,2.19
GR,26.18,2.23,7.09,8.84,7.33,0.01,0.68,2.86,70.96,0.24,37.72,1.37,31.56,0.07,97.44,624.97,0.09
HU,9.40,1.28,0.91,2.07,1.97,0.01,3.16,46.27,44.33,1.43,12.94,6.81,22.77,0.37,98.42,341.40,1.59
IS,9.93,0.18,0.65,2.38,4.74,0.44,1.55,29.87,60.19,2.56,18.73,14.26,23.95,0.69,80.68,492.66,0.90
IE,23.88,0.55,0.08,22.03,0.00,0.00,1.22,0.00,76.12,0.44,15.56,32.22,27.80,0.11,14.46,640.57,0.00
IT,13.77,0.49,4.71,2.62,3.65,1.94,0.36,6.90,79.33,5.70,4.33,16.24,51.40,1.66,85.61,476.53,0.21
LV,67.58,0.00,0.00,1.79,55.27,0.00,10.52,0.00,32.42,6.73,8.49,0.00,17.21,0.00,99.69,243.85,0.00
LT,19.40,0.73,1.76,1.03,15.42,0.02,0.44,8.51,72.09,6.57,47.07,4.06,14.19,0.19,54.05,704.79,0.26
LU,17.76,0.16,0.57,2.04,13.59,0.05,1.36,26.13,56.11,5.45,16.39,12.48,21.20,0.60,46.55,456.54,0.78
MT,7.32,0.07,4.54,0.92,1.16,0.02,0.61,11.79,80.89,1.01,7.39,5.63,9.45,57.41,100.00,661.71,0.35
NL,1.08,0.00,0.66,0.42,0.00,0.00,0.00,4.39,94.53,0.00,0.00,17.96,76.57,0.00,55.45,530.69,0.12
NO,8.34,0.18,0.63,2.34,3.53,0.05,1.60,29.36,62.30,2.52,18.43,13.98,26.70,0.67,81.00,499.39,0.88
PL,15.55,0.01,0.11,9.10,1.65,0.00,4.69,0.45,84.00,1.83,29.27,46.60,4.89,1.41,99.59,834.55,0.01
PT,40.15,0.00,1.62,22.70,10.50,0.00,5.33,0.00,59.85,0.47,0.00,25.80,33.46,0.12,99.08,382.93,0.00
RO,39.37,0.03,3.01,11.92,23.76,0.00,0.64,18.63,42.00,8.76,22.77,2.72,7.73,0.02,100.00,424.74,3.35
SK,24.66,0.12,2.17,0.16,16.03,0.00,6.18,53.38,21.96,2.12,6.46,4.45,7.74,1.18,94.82,180.20,1.86
SI,9.73,0.87,1.19,3.35,2.20,1.44,0.68,50.30,39.97,1.62,35.69,0.95,1.67,0.05,86.42,447.33,1.36
ES,5.52,0.46,1.42,1.91,1.17,0.01,0.54,30.29,64.20,1.65,4.65,21.09,31.49,5.32,75.45,446.38,0.83
SE,32.55,0.54,1.27,5.00,15.73,0.00,10.01,62.64,4.81,3.72,0.00,0.78,0.00,0.30,13.80,26.04,1.69
CH,28.23,0.06,2.87,2.68,13.35,0.02,9.26,43.03,28.73,9.11,6.38,4.86,8.16,0.23,28.33,199.87,1.88
